Id,Sub-Category,Name
FUR-BO-10001798,1,Bush Somerset Collection Bookcase
FUR-CH-10000454,2,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
OFF-LA-10000240,3,Self-Adhesive Address Labels for Typewriters by Universal
FUR-TA-10000577,4,Bretford CR4500 Series Slim Rectangular Table
OFF-ST-10000760,5,Eldon Fold 'N Roll Cart System
FUR-FU-10001487,6,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
OFF-AR-10002833,7,Newell 322
TEC-PH-10002275,8,Mitel 5320 IP Phone VoIP phone
OFF-BI-10003910,9,DXL Angle-View Binders with Locking Rings by Samsill
OFF-AP-10002892,10,Belkin F5C206VTEL 6 Outlet Surge
FUR-TA-10001539,4,Chromcraft Rectangular Conference Tables
TEC-PH-10002033,8,Konftel 250 Conference phone - Charcoal black
OFF-PA-10002365,11,Xerox 1967
OFF-BI-10003656,9,Fellowes PB200 Plastic Comb Binding Machine
OFF-AP-10002311,10,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
OFF-BI-10000756,9,Storex DuraTech Recycled Plastic Frosted Binders
OFF-ST-10004186,5,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
OFF-ST-10000107,5,Fellowes Super Stor/Drawer
OFF-AR-10003056,7,Newell 341
TEC-PH-10001949,8,Cisco SPA 501G IP Phone
OFF-BI-10002215,9,"Wilson Jones Hanging View Binder, White, 1"""
OFF-AR-10000246,7,Newell 318
OFF-AP-10001492,10,"Acco Six-Outlet Power Strip, 4' Cord Length"
FUR-CH-10002774,2,"Global Deluxe Stacking Chair, Gray"
OFF-BI-10001634,9,Wilson Jones Active Use Binders
TEC-AC-10003027,12,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
FUR-BO-10004834,1,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
OFF-BI-10000474,9,Avery Recycled Flexi-View Covers for Binding Systems
FUR-FU-10004848,6,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
OFF-EN-10001509,13,Poly String Tie Envelopes
OFF-AR-10004042,7,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
OFF-BI-10001525,9,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
OFF-AR-10001683,7,Lumber Crayons
OFF-PA-10000249,11,Easy-staple paper
TEC-PH-10004977,8,GE 30524EE4
FUR-FU-10003664,6,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
OFF-EN-10002986,13,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
FUR-BO-10002545,1,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
FUR-CH-10004218,2,"Global Fabric Manager's Chair, Dark Gray"
TEC-PH-10000486,8,Plantronics HL10 Handset Lifter
